,기관코드_int,기관코드_str,시군구별(1),시군구별(2),계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국
21,41287,41287,경기,고양시 일산서구,485,-,1,5,7,169,2,93,-,91,1,-,-,-,-,116
22,41290,41290,경기,과천시,92,-,-,-,-,38,1,17,-,14,1,-,-,-,-,21
23,41210,41210,경기,광명시,530,-,1,5,5,205,-,114,-,81,1,-,-,-,-,118
24,41610,41610,경기,광주시,406,-,1,2,7,131,1,74,-,69,1,3,12,-,-,105
25,41310,41310,경기,구리시,418,-,1,9,5,146,-,93,-,66,1,2,-,-,-,95
26,41410,41410,경기,군포시,429,-,2,3,8,140,2,97,-,68,1,1,-,-,-,107
27,41570,41570,경기,김포시,604,-,2,15,7,200,-,131,6,94,1,6,7,-,-,135
28,41360,41360,경기,남양주시,912,-,3,12,19,308,-,194,-,139,2,6,3,-,1,225
29,41250,41250,경기,동두천시,140,-,-,1,10,41,-,26,-,18,1,-,-,-,-,43
30,41190,41190,경기,부천시,1432,1,4,23,31,510,4,282,9,218,3,-,-,-,1,346
31,41135,41135,경기,성남시 분당구,1167,1,3,10,6,443,5,261,3,201,1,1,-,-,-,232
32,41131,41131,경기,성남시 수정구,513,-,2,5,6,193,1,116,1,70,1,-,-,-,-,118
33,41133,41133,경기,성남시 중원구,415,-,1,2,4,152,1,84,-,72,1,-,-,-,-,98
34,41113,41113,경기,수원시 권선구,470,-,-,9,4,154,-,99,-,79,1,-,-,-,-,124
35,41117,41117,경기,수원시 영통구,582,1,-,8,5,209,-,144,1,90,1,-,-,-,-,123
36,41111,41111,경기,수원시 장안구,446,-,1,5,9,147,-,97,-,77,1,-,-,-,-,109
37,41115,41115,경기,수원시 팔달구,584,-,2,11,7,221,1,104,3,107,1,-,-,-,-,127
38,41390,41390,경기,시흥시,622,-,3,4,13,226,2,131,9,74,1,1,4,-,-,154
39,41273,41273,경기,안산시 단원구,620,1,2,14,10,229,4,108,8,81,1,2,2,-,1,157
40,41271,41271,경기,안산시 상록구,404,-,1,7,7,128,-,79,7,59,1,2,-,-,-,113
41,41550,41550,경기,안성시,271,-,2,2,10,74,1,47,-,33,1,9,15,-,-,77
42,41173,41173,경기,안양시 동안구,699,1,-,11,1,253,1,164,-,119,1,-,-,-,2,146
43,41171,41171,경기,안양시 만안구,400,-,2,3,8,129,-,88,2,64,1,-,-,-,-,103
44,41630,41630,경기,양주시,252,-,-,5,12,80,-,47,-,30,1,2,3,-,-,72
45,41830,41830,경기,양평군,178,-,-,2,8,41,-,29,1,32,1,10,16,-,-,38
46,41670,41670,경기,여주시,191,-,-,4,6,50,-,33,-,27,1,9,13,-,-,48
47,41800,41800,경기,연천군,69,-,-,-,1,13,-,11,-,7,-,7,7,1,-,22
48,41370,41370,경기,오산시,314,-,2,6,6,103,1,70,1,41,1,-,-,-,-,83
49,41463,41463,경기,용인시 기흥구,571,-,1,4,13,207,1,129,1,86,1,-,2,-,-,126
50,41465,41465,경기,용인시 수지구,534,-,-,3,5,190,1,121,-,98,1,-,1,-,-,114
51,41461,41461,경기,용인시 처인구,324,-,2,3,7,102,-,69,1,44,1,7,7,-,-,81
52,41430,41430,경기,의왕시,189,-,-,2,4,62,1,44,-,30,1,1,-,-,1,43
53,41150,41150,경기,의정부시,729,-,4,13,10,273,2,143,3,95,1,-,-,-,-,185
54,41500,41500,경기,이천시,333,-,1,4,8,108,1,55,-,44,1,7,15,-,-,89
55,41480,41480,경기,파주시,573,-,1,11,20,184,-,114,1,85,1,6,7,-,-,143
56,41220,41220,경기,평택시,765,-,4,11,7,253,-,148,1,111,2,9,11,-,1,207
57,41650,41650,경기,포천시,209,-,2,2,6,62,-,36,-,24,1,13,9,-,-,54
58,41450,41450,경기,하남시,381,-,-,7,4,148,-,76,-,58,1,-,-,-,-,87
59,41590,41590,경기,화성시,1001,-,3,12,12,339,-,204,3,148,1,15,12,-,-,252
60,48310,48310,경남,거제시,317,-,3,7,2,102,3,55,-,46,1,10,12,-,-,76
61,48880,48880,경남,거창군,127,-,-,2,3,31,-,16,-,13,1,11,18,-,-,32
62,48820,48820,경남,고성군,89,-,-,3,2,19,-,11,-,12,1,13,12,-,-,16
63,48250,48250,경남,김해시,711,-,5,25,35,218,5,130,3,104,1,8,1,-,-,176
64,48840,48840,경남,남해군,88,-,-,1,1,23,-,9,-,9,1,9,15,-,-,20
65,48270,48270,경남,밀양시,178,-,-,8,5,44,-,26,1,23,1,9,15,-,-,46
66,48240,48240,경남,사천시,191,-,-,5,7,51,-,35,-,27,1,7,12,-,-,46
67,48860,48860,경남,산청군,72,-,-,-,1,13,-,6,-,13,-,9,15,1,-,14
68,48330,48330,경남,양산시,507,1,2,10,18,174,3,83,2,81,1,6,2,-,-,124
69,48720,48720,경남,의령군,60,-,-,2,2,11,-,5,-,7,1,11,10,-,-,11
70,48170,48170,경남,진주시,597,1,3,13,10,192,3,107,2,94,1,11,13,-,-,147
71,48740,48740,경남,창녕군,129,-,-,4,7,29,-,13,-,15,1,13,19,-,-,28
72,48125,48125,경남,창원시 마산합포구,329,-,3,9,12,101,-,63,-,53,1,4,3,-,-,80
73,48127,48127,경남,창원시 마산회원구,334,-,3,7,9,132,1,55,-,47,-,2,-,-,1,77
74,48123,48123,경남,창원시 성산구,405,-,3,8,1,135,2,91,2,85,-,-,-,-,-,78
75,48121,48121,경남,창원시 의창구,362,-,1,8,13,116,1,64,1,59,1,3,2,-,-,93
76,48129,48129,경남,창원시 진해구,271,-,1,9,5,89,2,49,-,42,1,1,1,-,-,71
77,48220,48220,경남,통영시,230,-,-,7,4,78,-,34,1,27,1,3,18,-,-,57
78,48850,48850,경남,하동군,94,-,-,3,2,20,-,12,-,9,1,12,18,-,-,17
