C행정구역별(읍면동),시/도,시/군/구,65세이상인구,총인구,비율,행정구역코드,행정기관코드,비율소수점
'35310,전라북도, 완주군,19773,96212,21%,35310,45710,0.2055
'35320,전라북도, 진안군,7881,23013,34%,35320,45720,0.3425
'35330,전라북도, 무주군,7469,22852,33%,35330,45730,0.3268
'35340,전라북도, 장수군,6872,21267,32%,35340,45740,0.3231
'35350,전라북도, 임실군,9013,26144,34%,35350,45750,0.3447
'35360,전라북도, 순창군,8955,26642,34%,35360,45770,0.3361
'35370,전라북도, 고창군,17481,53260,33%,35370,45790,0.3282
'35380,전라북도, 부안군,15929,49733,32%,35380,45800,0.3203
'36010,전라남도, 목포시,36189,228876,16%,36010,46110,0.1581
'36020,전라남도, 여수시,49647,270283,18%,36020,46130,0.1837
'36030,전라남도, 순천시,40810,270202,15%,36030,46150,0.151
'36040,전라남도, 나주시,24180,112101,22%,36040,46170,0.2157
'36060,전라남도, 광양시,18150,143656,13%,36060,46230,0.1263
'36310,전라남도, 담양군,13077,43804,30%,36310,46710,0.2985
'36320,전라남도, 곡성군,9451,27858,34%,36320,46720,0.3393
'36330,전라남도, 구례군,8287,23836,35%,36330,46730,0.3477
'36350,전라남도, 고흥군,24156,60332,40%,36350,46770,0.4004
'36360,전라남도, 보성군,14431,38339,38%,36360,46780,0.3764
'36370,전라남도, 화순군,15707,59671,26%,36370,46790,0.2632
'36380,전라남도, 장흥군,11748,35494,33%,36380,46800,0.331
'36390,전라남도, 강진군,11020,32805,34%,36390,46810,0.3359
'36400,전라남도, 해남군,20413,65175,31%,36400,46820,0.3132
'36410,전라남도, 영암군,13201,57476,23%,36410,46830,0.2297
'36420,전라남도, 무안군,15759,81789,19%,36420,46840,0.1927
'36430,전라남도, 함평군,10700,30556,35%,36430,46860,0.3502
'36440,전라남도, 영광군,14090,50004,28%,36440,46870,0.2818
'36450,전라남도, 장성군,12085,42193,29%,36450,46880,0.2864
'36460,전라남도, 완도군,14625,48366,30%,36460,46890,0.3024
'36470,전라남도, 진도군,9318,29295,32%,36470,46900,0.3181
'36480,전라남도, 신안군,12671,35432,36%,36480,46910,0.3576
'37011,경상북도, 남구,37012,233172,16%,37011,47111,0.1587
'37012,경상북도, 북구,44235,268892,16%,37012,47113,0.1645
'37020,경상북도, 경주시,53055,264314,20%,37020,47130,0.2007
'37030,경상북도, 김천시,30495,139902,22%,37030,47150,0.218
'37040,경상북도, 안동시,36930,160344,23%,37040,47170,0.2303
'37050,경상북도, 구미시,37194,420319,9%,37050,47190,0.0885
'37060,경상북도, 영주시,26704,105235,25%,37060,47210,0.2538
'37070,경상북도, 영천시,26438,100487,26%,37070,47230,0.2631
'37080,경상북도, 상주시,28640,96641,30%,37080,47250,0.2964
'37090,경상북도, 문경시,20044,68542,29%,37090,47280,0.2924
'37100,경상북도, 경산시,41971,290088,14%,37100,47290,0.1447
'37310,경상북도, 군위군,8545,22206,38%,37310,47720,0.3848
'37320,경상북도, 의성군,20099,49477,41%,37320,47730,0.4062
'37330,경상북도, 청송군,8719,23958,36%,37330,47750,0.3639
'37340,경상북도, 영양군,5851,16146,36%,37340,47760,0.3624
'37350,경상북도, 영덕군,12782,35672,36%,37350,47770,0.3583
'37360,경상북도, 청도군,14727,41054,36%,37360,47820,0.3587
'37370,경상북도, 고령군,9210,32191,29%,37370,47830,0.2861
'37380,경상북도, 성주군,12513,41314,30%,37380,47840,0.3029
'37390,경상북도, 칠곡군,16952,118517,14%,37390,47850,0.143
'37400,경상북도, 예천군,15881,53020,30%,37400,47900,0.2995
'37410,경상북도, 봉화군,10804,30308,36%,37410,47920,0.3565
'37420,경상북도, 울진군,12735,47651,27%,37420,47930,0.2673
'37430,경상북도, 울릉군,2042,8704,23%,37430,47940,0.2346
'38111,경상남도, 의창구,30206,256001,12%,38111,48121,0.118
'38112,경상남도, 성산구,16219,219951,7%,38112,48123,0.0737
'38113,경상남도, 마산합포구,34788,177579,20%,38113,48125,0.1959
'38114,경상남도, 마산회원구,31157,192446,16%,38114,48127,0.1619
'38115,경상남도, 진해구,25405,190885,13%,38115,48129,0.1331
'38030,경상남도, 진주시,54912,354166,16%,38030,48170,0.155
'38050,경상남도, 통영시,23018,129931,18%,38050,48220,0.1772
'38060,경상남도, 사천시,22962,111110,21%,38060,48240,0.2067
'38070,경상남도, 김해시,57030,549331,10%,38070,48250,0.1038
'38080,경상남도, 밀양시,26979,103402,26%,38080,48270,0.2609
'38090,경상남도, 거제시,24073,251226,10%,38090,48310,0.0958
'38100,경상남도, 양산시,43747,347221,13%,38100,48330,0.126
'38310,경상남도, 의령군,9146,26040,35%,38310,48720,0.3512
'38320,경상남도, 함안군,14790,66611,22%,38320,48730,0.222
'38330,경상남도, 창녕군,17636,62370,28%,38330,48740,0.2828
'38340,경상남도, 고성군,14841,50887,29%,38340,48820,0.2916
'38350,경상남도, 남해군,15195,42169,36%,38350,48840,0.3603
'38360,경상남도, 하동군,14192,42583,33%,38360,48850,0.3333
'38370,경상남도, 산청군,11834,33579,35%,38370,48860,0.3524
'38380,경상남도, 함양군,12217,37384,33%,38380,48870,0.3268
'38390,경상남도, 거창군,15983,59888,27%,38390,48880,0.2669
'38400,경상남도, 합천군,16255,42449,38%,38400,48890,0.3829
'39010,제주특별자치도, 제주시,65170,487688,13%,39010,50110,0.1336
'39020,제주특별자치도, 서귀포시,32300,177360,18%,39020,50130,0.1821
