,기관코드_int,시군구1,시군구2,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국,65세이상인구,총인구,비율소수점
72,48125,경남,창원시 마산합포구,329,0,3,9,12,101,0,63,0,53,1,4,3,0,0,80,34788,177579,0.1959
73,48127,경남,창원시 마산회원구,334,0,3,7,9,132,1,55,0,47,0,2,0,0,1,77,31157,192446,0.1619
74,48123,경남,창원시 성산구,405,0,3,8,1,135,2,91,2,85,0,0,0,0,0,78,16219,219951,0.0737
75,48121,경남,창원시 의창구,362,0,1,8,13,116,1,64,1,59,1,3,2,0,0,93,30206,256001,0.118
76,48129,경남,창원시 진해구,271,0,1,9,5,89,2,49,0,42,1,1,1,0,0,71,25405,190885,0.1331
77,48220,경남,통영시,230,0,0,7,4,78,0,34,1,27,1,3,18,0,0,57,23018,129931,0.1772
78,48850,경남,하동군,94,0,0,3,2,20,0,12,0,9,1,12,18,0,0,17,14192,42583,0.3333
79,48730,경남,함안군,94,0,0,3,4,22,0,13,0,12,1,5,9,0,0,25,14790,66611,0.222
80,48870,경남,함양군,83,0,0,1,0,22,0,9,0,10,1,10,11,0,0,19,12217,37384,0.3268
81,48890,경남,합천군,96,0,0,3,2,17,0,10,0,14,1,16,15,0,0,18,16255,42449,0.3829
82,47290,경북,경산시,427,0,1,4,12,146,2,74,0,63,1,8,10,0,0,106,41971,290088,0.1447
83,47130,경북,경주시,407,0,1,10,14,115,2,58,1,68,1,12,16,0,0,109,53055,264314,0.2007
84,47830,경북,고령군,62,0,0,1,2,12,0,8,0,10,1,7,10,0,0,11,9210,32191,0.2861
85,47190,경북,구미시,616,0,3,8,9,217,5,104,0,92,2,8,12,0,0,156,37194,420319,0.0885
86,47720,경북,군위군,41,0,0,0,0,8,0,4,0,4,1,7,10,0,0,7,8545,22206,0.3848
87,47150,경북,김천시,212,0,2,1,4,60,0,33,0,24,1,15,16,0,0,56,30495,139902,0.218
88,47280,경북,문경시,147,0,1,2,1,45,0,19,0,18,1,9,13,0,0,38,20044,68542,0.2924
89,47920,경북,봉화군,47,0,0,1,1,7,0,4,0,7,1,9,7,0,0,10,10804,30308,0.3565
90,47250,경북,상주시,186,0,2,1,3,45,0,25,0,25,1,18,25,0,0,41,28640,96641,0.2964
91,47840,경북,성주군,84,0,0,2,5,18,0,9,0,11,1,9,11,0,0,18,12513,41314,0.3029
92,47170,경북,안동시,290,0,3,5,7,80,2,43,1,42,1,14,25,0,0,67,36930,160344,0.2303
93,47770,경북,영덕군,81,0,0,1,2,17,0,9,0,8,1,8,13,0,0,22,12782,35672,0.3583
94,47760,경북,영양군,24,0,0,1,0,1,0,3,0,2,1,5,8,0,0,3,5851,16146,0.3624
95,47210,경북,영주시,191,0,1,6,4,51,0,28,1,30,1,10,13,0,0,46,26704,105235,0.2538
96,47230,경북,영천시,192,0,1,2,3,59,1,19,1,35,1,11,13,0,1,45,26438,100487,0.2631
97,47900,경북,예천군,97,0,0,1,2,21,0,13,1,13,1,10,16,0,0,19,15881,53020,0.2995
98,47940,경북,울릉군,11,0,0,0,1,0,0,1,0,1,0,2,3,1,0,2,2042,8704,0.2346
99,47930,경북,울진군,83,0,0,1,2,15,0,10,0,11,1,9,16,0,0,18,12735,47651,0.2673
100,47730,경북,의성군,108,0,0,5,6,19,0,7,0,10,1,17,21,0,0,22,20099,49477,0.4062
101,47820,경북,청도군,85,0,0,4,5,20,0,9,0,12,1,8,10,0,0,16,14727,41054,0.3587
102,47750,경북,청송군,55,0,0,1,0,13,0,5,0,8,0,6,11,1,0,10,8719,23958,0.3639
103,47850,경북,칠곡군,151,0,0,3,5,45,0,23,0,18,1,7,10,0,0,39,16952,118517,0.143
104,47111,경북,포항시 남구,372,0,3,2,5,107,0,72,1,63,1,7,10,0,0,101,37012,233172,0.1587
105,47113,경북,포항시 북구,505,0,2,12,24,171,1,90,0,64,1,7,12,0,0,121,44235,268892,0.1645
106,29200,광주,광산구,640,0,6,18,17,206,3,139,18,72,1,1,7,0,0,152,36973,423310,0.0873
107,29155,광주,남구,427,0,3,15,9,128,0,103,17,45,1,0,2,0,0,104,36091,217972,0.1656
108,29110,광주,동구,327,2,1,6,10,113,1,56,6,34,1,0,0,0,0,97,21355,103754,0.2058
109,29170,광주,북구,782,0,6,22,19,251,1,183,26,85,1,0,0,0,0,188,62071,446661,0.139
110,29140,광주,서구,676,0,5,19,11,250,9,144,18,87,1,0,1,0,0,131,39830,298033,0.1336
111,27200,대구,남구,345,2,1,7,10,103,0,56,0,62,1,0,0,0,0,103,32893,147500,0.223
112,27290,대구,달서구,1064,1,4,31,13,378,5,195,0,172,1,0,0,0,0,264,74696,574390,0.13
113,27710,대구,달성군,361,0,0,6,8,123,0,60,0,59,1,8,8,0,0,88,30130,258474,0.1166
114,27140,대구,동구,649,0,1,9,7,236,0,103,0,117,1,0,0,0,0,175,62518,337439,0.1853
115,27230,대구,북구,748,1,1,20,11,250,2,141,0,120,1,1,0,0,0,200,59565,446050,0.1335
116,27170,대구,서구,374,0,1,8,9,119,0,53,0,70,1,0,0,0,0,113,36722,175243,0.2095
117,27260,대구,수성구,948,0,1,15,8,346,5,166,2,208,1,0,0,0,0,196,62197,415283,0.1498
118,27110,대구,중구,594,1,2,13,3,248,4,109,1,70,1,0,0,0,0,142,14744,75561,0.1951
119,30230,대전,대덕구,310,0,2,4,4,113,1,47,0,47,1,0,1,0,0,90,25698,179107,0.1435
120,30110,대전,동구,447,0,1,4,11,156,1,74,1,82,1,1,1,0,0,114,40283,237273,0.1698
121,30170,대전,서구,1123,0,3,26,12,431,1,222,5,181,1,2,1,0,0,238,56552,480920,0.1176
122,30200,대전,유성구,586,0,1,12,11,203,2,102,0,110,1,2,4,0,0,138,31299,366544,0.0854
123,30140,대전,중구,518,1,2,5,12,175,1,85,1,85,1,1,1,0,1,147,43054,234995,0.1832
124,26440,부산,강서구,147,0,0,4,0,49,1,27,0,21,1,4,3,0,0,37,13630,128809,0.1058
125,26410,부산,금정구,466,0,1,10,22,147,0,96,2,81,1,0,0,0,0,106,46197,244726,0.1888
