,시도,시군구,행정구역명,행정동(행정기관명),법정동,행정구역코드,행정기관코드,행정기관5자리,행정기관 생성일,법정동코드,법정동 관할지역,행정동 영문명칭,비고
16271,경상북도,김천시,대곡동,대곡동,백옥동,3703058.0,4715059500,47150,19980101,4715011300,,Daegok-dong,
16272,경상북도,김천시,대곡동,대곡동,부곡동,3703058.0,4715059500,47150,19980101,4715011400,,Daegok-dong,
16273,경상북도,김천시,지좌동,지좌동,지좌동,3703059.0,4715061000,47150,19880423,4715011500,,Jijwa-dong,
16274,경상북도,김천시,지좌동,지좌동,덕곡동,3703059.0,4715061000,47150,19880423,4715011600,,Jijwa-dong,
16275,경상북도,김천시,율곡동,율곡동,율곡동,3703062.0,4715064000,47150,20140102,4715012000,,Yulgok-dong,
16504,경상북도,안동시,송하동,송하동,송현동,3704061.0,4717066000,47170,19880423,4717013600,,Songha-dong,
16505,경상북도,안동시,강남동,강남동,정상동,3704063.0,4717069000,47170,20050901,4717013900,,Gangnam-dong,
16506,경상북도,안동시,강남동,강남동,정하동,3704063.0,4717069000,47170,20050901,4717014000,,Gangnam-dong,
16507,경상북도,안동시,강남동,강남동,수상동,3704063.0,4717069000,47170,20050901,4717014100,,Gangnam-dong,
16508,경상북도,안동시,강남동,강남동,수하동,3704063.0,4717069000,47170,20050901,4717014200,,Gangnam-dong,
16658,경상북도,구미시,양포동,양포동,양호동,3705072.0,4719069000,47190,19880423,4719012600,분할연계,Yangpo-dong,
16659,경상북도,구미시,양포동,양포동,거의동,3705072.0,4719069000,47190,19880423,4719012700,,Yangpo-dong,
16660,경상북도,구미시,양포동,양포동,옥계동,3705072.0,4719069000,47190,19880423,4719012800,,Yangpo-dong,
16661,경상북도,구미시,양포동,양포동,구포동,3705072.0,4719069000,47190,19880423,4719012900,,Yangpo-dong,
16662,경상북도,구미시,양포동,양포동,금전동,3705072.0,4719069000,47190,19880423,4719013000,,Yangpo-dong,
16781,경상북도,영주시,가흥2동,가흥2동,가흥동,3706063.0,4721063000,47210,19880423,4721010500,분할연계,Gaheung 2(i)-dong,
16782,경상북도,영주시,가흥2동,가흥2동,고현동,3706063.0,4721063000,47210,19880423,4721010700,,Gaheung 2(i)-dong,
16783,경상북도,영주시,가흥2동,가흥2동,창진동,3706063.0,4721063000,47210,19880423,4721010800,,Gaheung 2(i)-dong,
16784,경상북도,영주시,가흥2동,가흥2동,상줄동,3706063.0,4721063000,47210,19880423,4721010900,,Gaheung 2(i)-dong,
16785,경상북도,영주시,가흥2동,가흥2동,아지동,3706063.0,4721063000,47210,19880423,4721011300,,Gaheung 2(i)-dong,
17002,경상북도,영천시,남부동,남부동,봉동,3707055.0,4723055500,47230,19981020,4723011600,,Nambu-dong,
17003,경상북도,영천시,남부동,남부동,본촌동,3707055.0,4723055500,47230,19981020,4723011700,,Nambu-dong,
17004,경상북도,영천시,남부동,남부동,채신동,3707055.0,4723055500,47230,19981020,4723011800,,Nambu-dong,
17005,경상북도,영천시,남부동,남부동,괴연동,3707055.0,4723055500,47230,19981020,4723011900,,Nambu-dong,
17006,경상북도,영천시,남부동,남부동,도남동,3707055.0,4723055500,47230,19981020,4723012600,,Nambu-dong,
17261,경상북도,상주시,신흥동,신흥동,가장동,3708057.0,4725057000,47250,19880423,4725011300,,Sinheung-dong,
17262,경상북도,상주시,신흥동,신흥동,양촌동,3708057.0,4725057000,47250,19880423,4725011400,,Sinheung-dong,
17263,경상북도,상주시,신흥동,신흥동,지천동,3708057.0,4725057000,47250,19880423,4725011500,,Sinheung-dong,
17264,경상북도,상주시,신흥동,신흥동,오대동,3708057.0,4725057000,47250,19880423,4725011600,,Sinheung-dong,
17265,경상북도,상주시,신흥동,신흥동,흥각동,3708057.0,4725057000,47250,19880423,4725011700,,Sinheung-dong,
17406,경상북도,문경시,점촌4동,점촌4동,신기동,3709060.0,4728060000,47280,20040101,4728010600,,Jeomchon 4(sa)-dong,
17407,경상북도,문경시,점촌4동,점촌4동,불정동,3709060.0,4728060000,47280,20040101,4728010700,,Jeomchon 4(sa)-dong,
17408,경상북도,문경시,점촌4동,점촌4동,유곡동,3709060.0,4728060000,47280,20040101,4728010800,,Jeomchon 4(sa)-dong,
17409,경상북도,문경시,점촌4동,점촌4동,공평동,3709060.0,4728060000,47280,20040101,4728010900,,Jeomchon 4(sa)-dong,
17410,경상북도,문경시,점촌5동,점촌5동,모전동,3709061.0,4728061000,47280,20040101,4728011000,분할연계,Jeomchon 5(o)-dong,
17583,경상북도,경산시,동부동,동부동,신천동,3710052.0,4729056000,47290,19890101,4729012300,,Dongbu-dong,
17584,경상북도,경산시,동부동,동부동,점촌동,3710052.0,4729056000,47290,19890101,4729012400,,Dongbu-dong,
17585,경상북도,경산시,동부동,동부동,평산동,3710052.0,4729056000,47290,19890101,4729012500,,Dongbu-dong,
17586,경상북도,경산시,동부동,동부동,사동,3710052.0,4729056000,47290,19890101,4729012600,,Dongbu-dong,
17587,경상북도,경산시,동부동,동부동,삼풍동,3710052.0,4729056000,47290,19890101,4729012700,,Dongbu-dong,
17684,경상북도,군위군,삼국유사면,삼국유사면,양지리,3731038.0,4772038000,47720,20210101,4772038027,,ㅇㅇㅇㅇ-myeon,고로면에서 삼국유사면으로 명칭변경(210101)
17685,경상북도,군위군,삼국유사면,삼국유사면,낙전리,3731038.0,4772038000,47720,20210101,4772038028,,ㅇㅇㅇㅇ-myeon,고로면에서 삼국유사면으로 명칭변경(210101)
17686,경상북도,군위군,삼국유사면,삼국유사면,가암리,3731038.0,4772038000,47720,20210101,4772038029,,ㅇㅇㅇㅇ-myeon,고로면에서 삼국유사면으로 명칭변경(210101)
17687,경상북도,군위군,삼국유사면,삼국유사면,석산리,3731038.0,4772038000,47720,20210101,4772038030,,ㅇㅇㅇㅇ-myeon,고로면에서 삼국유사면으로 명칭변경(210101)
17688,경상북도,군위군,삼국유사면,삼국유사면,학암리,3731038.0,4772038000,47720,20210101,4772038031,,ㅇㅇㅇㅇ-myeon,고로면에서 삼국유사면으로 명칭변경(210101)
17885,경상북도,의성군,안사면,안사면,안사리,3732047.0,4773047000,47730,19910806,4773047022,,Ansa-myeon,
17886,경상북도,의성군,안사면,안사면,만리리,3732047.0,4773047000,47730,19910806,4773047023,,Ansa-myeon,
17887,경상북도,의성군,안사면,안사면,신수리,3732047.0,4773047000,47730,19910806,4773047024,,Ansa-myeon,
17888,경상북도,의성군,안사면,안사면,월소리,3732047.0,4773047000,47730,19910806,4773047025,,Ansa-myeon,
17889,경상북도,의성군,안사면,안사면,쌍호리,3732047.0,4773047000,47730,19910806,4773047026,,Ansa-myeon,
17980,경상북도,청송군,진보면,진보면,월전리,3733037.0,4775037000,47750,19880423,4775037046,,Jinbo-myeon,
17981,경상북도,청송군,진보면,진보면,시량리,3733037.0,4775037000,47750,19880423,4775037047,,Jinbo-myeon,
17982,경상북도,청송군,진보면,진보면,고현리,3733037.0,4775037000,47750,19880423,4775037048,,Jinbo-myeon,
17983,경상북도,청송군,진보면,진보면,신촌리,3733037.0,4775037000,47750,19880423,4775037049,,Jinbo-myeon,
17984,경상북도,청송군,진보면,진보면,괴정리,3733037.0,4775037000,47750,19880423,4775037050,,Jinbo-myeon,
18061,경상북도,영양군,석보면,석보면,화매리,3734035.0,4776035000,47760,19880423,4776035042,,Seokbo-myeon,
18062,경상북도,영양군,석보면,석보면,답곡리,3734035.0,4776035000,47760,19880423,4776035043,,Seokbo-myeon,
18063,경상북도,영양군,석보면,석보면,홍계리,3734035.0,4776035000,47760,19880423,4776035044,,Seokbo-myeon,
18064,경상북도,영양군,석보면,석보면,지경리,3734035.0,4776035000,47760,19880423,4776035045,,Seokbo-myeon,
18065,경상북도,영양군,석보면,석보면,삼의리,3734035.0,4776035000,47760,19880423,4776035046,,Seokbo-myeon,
18191,경상북도,영덕군,창수면,창수면,삼계리,3735038.0,4777038000,47770,19880423,4777038042,,Changsu-myeon,
18192,경상북도,영덕군,창수면,창수면,수리,3735038.0,4777038000,47770,19880423,4777038043,,Changsu-myeon,
18193,경상북도,영덕군,창수면,창수면,인천리,3735038.0,4777038000,47770,19880423,4777038044,,Changsu-myeon,
18194,경상북도,영덕군,창수면,창수면,보림리,3735038.0,4777038000,47770,19880423,4777038045,,Changsu-myeon,
18195,경상북도,영덕군,창수면,창수면,백청리,3735038.0,4777038000,47770,19880423,4777038046,,Changsu-myeon,
18330,경상북도,청도군,매전면,매전면,상평리,3736037.0,4782037000,47820,19880423,4782037056,,Maejeon-myeon,
18331,경상북도,청도군,매전면,매전면,관하리,3736037.0,4782037000,47820,19880423,4782037057,,Maejeon-myeon,
18332,경상북도,청도군,매전면,매전면,금천리,3736037.0,4782037000,47820,19880423,4782037058,,Maejeon-myeon,
18333,경상북도,청도군,매전면,매전면,덕산리,3736037.0,4782037000,47820,19880423,4782037059,,Maejeon-myeon,
18334,경상북도,청도군,매전면,매전면,두곡리,3736037.0,4782037000,47820,19880423,4782037060,,Maejeon-myeon,
18435,경상북도,고령군,쌍림면,쌍림면,안화리,3737037.0,4783037000,47830,19880423,4783037048,,Ssangnim-myeon,
18436,경상북도,고령군,쌍림면,쌍림면,안림리,3737037.0,4783037000,47830,19880423,4783037049,,Ssangnim-myeon,
18437,경상북도,고령군,쌍림면,쌍림면,고곡리,3737037.0,4783037000,47830,19880423,4783037050,,Ssangnim-myeon,
18438,경상북도,고령군,쌍림면,쌍림면,월막리,3737037.0,4783037000,47830,19880423,4783037051,,Ssangnim-myeon,
18439,경상북도,고령군,쌍림면,쌍림면,용리,3737037.0,4783037000,47830,19880423,4783037052,,Ssangnim-myeon,
18557,경상북도,성주군,월항면,월항면,보암리,3738039.0,4784039000,47840,19880423,4784039035,,Wolhang-myeon,
18558,경상북도,성주군,월항면,월항면,장산리,3738039.0,4784039000,47840,19880423,4784039036,,Wolhang-myeon,
18559,경상북도,성주군,월항면,월항면,수죽리,3738039.0,4784039000,47840,19880423,4784039037,,Wolhang-myeon,
18560,경상북도,성주군,월항면,월항면,지방리,3738039.0,4784039000,47840,19880423,4784039038,,Wolhang-myeon,
18561,경상북도,성주군,월항면,월항면,인촌리,3738039.0,4784039000,47840,19880423,4784039039,,Wolhang-myeon,
18639,경상북도,칠곡군,기산면,기산면,영리,3739037.0,4785037000,47850,19880423,4785037030,,Gisan-myeon,
18640,경상북도,칠곡군,기산면,기산면,행정리,3739037.0,4785037000,47850,19880423,4785037031,,Gisan-myeon,
18641,경상북도,칠곡군,기산면,기산면,봉산리,3739037.0,4785037000,47850,19880423,4785037032,,Gisan-myeon,
18642,경상북도,칠곡군,기산면,기산면,각산리,3739037.0,4785037000,47850,19880423,4785037033,,Gisan-myeon,
18643,경상북도,칠곡군,기산면,기산면,노석리,3739037.0,4785037000,47850,19880423,4785037034,,Gisan-myeon,
18825,경상북도,예천군,풍양면,풍양면,고산리,3740041.0,4790041000,47900,19880423,4790041038,,Pungyang-myeon,
18826,경상북도,예천군,풍양면,풍양면,공덕리,3740041.0,4790041000,47900,19880423,4790041039,,Pungyang-myeon,
18827,경상북도,예천군,풍양면,풍양면,낙상리,3740041.0,4790041000,47900,19880423,4790041040,,Pungyang-myeon,
