시도,시군구,고혈압,울혈성심부전,협심증,당뇨 급성 합병증,당뇨 만성 합병증,성인 천식,만성 폐쇄성 폐질환,세균성 폐렴,요로 감염증,충수 돌기,소아 천식,소아 위장 관염,소아 세균성 폐렴,소아 요로 감염,소아 천공성 충수염
강원도,삼척시,32.5,8.9,7.9,0.7,8.4,3.2,17.2,2.5,5.8,1.4,11,22.4,5.6,2.9,0.3
경상북도,상주시,23.1,4.2,4.3,0.2,6.4,2,10.4,2.3,5.7,1.4,20.1,30.2,3.8,2.9,0
부산광역시,서구,33.4,7.1,8.2,0.4,8.7,2.3,16.2,3.5,6.4,1.4,23.4,64.6,5.7,3.7,0.1
대구광역시,서구,27.3,4.4,4.1,0.3,7.6,1.5,10.7,4.2,6.3,1.7,31.7,41.4,15.8,6.2,0
인천광역시,서구,26.9,5.8,6.7,0.4,7.9,2.5,12.7,2.4,6.9,1.4,23.2,35.9,3.8,6,0.1
광주광역시,서구,30,5.5,7.1,0.4,8.7,2.5,17.5,4.7,7.1,1.6,35.2,58.4,11.3,5.1,0.1
대전광역시,서구,25.1,5.9,6.2,0.2,6.7,1.3,9,3.3,6,1.5,37.8,47.8,9.9,15.5,0.1
제주특별자치도,서귀포시,18.9,6.5,9.4,0.2,6.5,2.4,12.1,2.3,7.2,1.4,9.1,20.3,2.9,2.7,0
서울특별시,서대문구,16.8,2.9,3.9,0.2,5,1.2,6.6,1.3,3.5,1.2,4.7,12.1,1.7,1.7,0.1
충청남도,서산시,20.6,5,4.3,0.2,4.8,1.9,11.9,1.6,6.3,1.5,7.6,22.8,3.1,2.7,0.3
충청남도,서천군,27.6,3.8,4.5,0.2,7.8,2.1,16.8,2.4,6.1,1.5,13.7,38.6,6.7,4.5,0
서울특별시,서초구,16.2,2.4,4.8,0.2,3.9,1.3,4.2,1.1,3,1.6,6,22.1,1.7,2.4,0
경기도,성남시 분당구,14.6,3.9,3.9,0.1,3.3,0.8,4.7,0.8,3.1,1.3,2.6,14.3,1.2,2.5,0.2
경기도,성남시 수정구,21.4,4.3,5.8,0.4,5.9,1.4,7.6,1.2,4.7,1.4,7.5,27,1.8,3.3,0
경기도,성남시 중원구,21,4.1,5.7,0.3,5.7,1.1,7.3,1.1,4.5,1.6,4.7,26.6,1.4,3.1,0.1
서울특별시,성동구,20.3,3.4,6.2,0.3,5.4,1.2,6.4,2.7,4.1,1.3,8.2,23.3,8,3.1,0.3
서울특별시,성북구,20.3,3,5.4,0.2,5.3,1.1,5.3,2.7,3.8,1.3,16.1,21.5,8.6,3.7,0.2
경상북도,성주군,26.8,4.8,4.2,0.2,6.7,1.7,11.4,3.3,5.1,1.6,37.2,35.1,9.6,4.8,0.3
세종특별자치시,세종특별자치시,24,5.4,5.8,0.2,6.4,1.5,9.8,3,5.2,1.4,16.8,28.6,3,5.3,0.3
강원도,속초시,26.6,6.8,7.5,0.2,7.7,1.8,10.8,3.9,7.5,1.4,16.2,16.8,6.8,2.1,0.1
서울특별시,송파구,17.3,3.1,3.7,0.2,4.4,0.9,4.4,0.8,3.1,1.3,2.4,12.3,0.8,2.6,0.1
대구광역시,수성구,20.7,4.5,3.7,0.2,5.3,1.1,7.4,1.2,4.2,1.7,31.1,27,2.3,3.1,0.1
부산광역시,수영구,27.1,5.1,8.5,0.2,7.1,1.3,12.3,4.5,5.6,1.5,28.5,63.6,18.1,3.5,0
경기도,수원시 권선구,18.5,4.3,7.2,0.3,5.3,1.2,7,1.4,4.6,1.7,6,16.6,1,2.3,0.1
경기도,수원시 영통구,18.1,4.3,6.9,0.2,4.5,1.1,5.3,1.3,3.7,1.5,6.8,17.7,1,1.9,0
경기도,수원시 장안구,18.7,4.1,7.2,0.2,5.3,1.2,6.2,1.3,4.5,1.4,4.2,15.8,1.2,2.2,0.1
경기도,수원시 팔달구,21.6,5.2,9.5,0.4,6.3,1.5,7.7,1.5,5,1.7,4.2,21.1,1.6,2,0.1
전라북도,순창군,31.9,4.3,7,0.3,9.9,2.8,18.3,8.4,9.7,1.3,47.4,49.4,18.4,18.5,0
