	시군구1	시군구2	SIG_KOR_NM		계	상급종합병원	종합병원	병원	요양병원	의원	치과병원	치과의원	한방병원	한의원	보건소	보건지소	보건진료소	보건의료원	조산원	약국
198	경기	안양시 동안구	안성시	FALSE	699	1	0	11	1	253	1	164	0	119	1	0	0	0	2	146
197	경기	안양시 만안구	안양시동안구	FALSE	400	0	2	3	8	129	0	88	2	64	1	0	0	0	0	103
245	강원	양구군	안양시만안구	FALSE	33	0	0	3	0	5	0	5	0	4	1	4	3	0	0	8
143	경남	양산시	양구군	FALSE	507	1	2	10	18	174	3	83	2	81	1	6	2	0	0	124
248	강원	양양군	양산시	FALSE	37	0	0	0	0	6	0	4	0	4	1	5	5	0	0	12
225	경기	양주시	양양군	FALSE	252	0	0	5	12	80	0	47	0	30	1	2	3	0	0	72
168	서울	양천구	양주시	FALSE	816	0	3	5	5	279	4	177	3	150	1	0	0	0	0	189
230	경기	양평군	양천구	FALSE	178	0	0	2	8	41	0	29	1	32	1	10	16	0	0	38
21	전남	여수시	양평군	FALSE	471	0	3	7	11	153	2	79	2	55	1	12	28	0	0	118
227	경기	여주시	여수시	FALSE	191	0	0	4	6	50	0	33	0	27	1	9	13	0	0	48
182	인천	연수구	여주시	FALSE	467	0	1	4	4	177	2	101	1	76	1	1	0	0	0	99
91	부산	연제구	연수구	FALSE	450	0	1	10	16	153	2	89	1	80	1	0	0	0	1	96
228	경기	연천군	연제구	FALSE	69	0	0	0	1	13	0	11	0	7	0	7	7	1	0	22
37	전남	영광군	연천군	FALSE	116	0	2	0	2	34	0	15	0	13	1	7	13	0	0	29
123	경북	영덕군	영광군	FALSE	81	0	0	1	2	17	0	9	0	8	1	8	13	0	0	22
82	부산	영도구	영덕군	FALSE	203	0	2	1	5	73	0	31	0	34	1	0	0	0	0	56
57	충북	영동군	영도구	FALSE	108	0	0	1	3	27	0	10	0	15	1	10	17	0	0	24
172	서울	영등포구	영동군	FALSE	1001	0	7	8	12	339	1	238	2	149	1	0	0	0	0	244
34	전남	영암군	영등포구	FALSE	100	0	0	2	2	23	0	13	0	14	1	10	13	0	0	22
122	경북	영양군	영암군	FALSE	24	0	0	1	0	1	0	3	0	2	1	5	8	0	0	3
240	강원	영월군	영양군	FALSE	56	0	1	1	1	12	0	6	0	6	1	7	5	0	0	16
114	경북	영주시	영월군	FALSE	191	0	1	6	4	51	0	28	1	30	1	10	13	0	0	46
115	경북	영천시	영주시	FALSE	192	0	1	2	3	59	1	19	1	35	1	11	13	0	1	45
77	충남	예산군	영천시	FALSE	156	0	1	1	0	41	0	21	0	22	1	12	16	0	0	41
128	경북	예천군	예산군	FALSE	97	0	0	1	2	21	0	13	1	13	1	10	16	0	0	19
211	경기	오산시	예천군	FALSE	314	0	2	6	6	103	1	70	1	41	1	0	0	0	0	83
56	충북	옥천군	오산시	FALSE	107	0	1	0	4	30	0	11	0	15	1	8	16	0	0	21
188	인천	옹진군	옥천군	FALSE	32	0	0	1	0	3	0	3	0	2	0	8	12	0	0	3
39	전남	완도군	옹진군	FALSE	96	0	0	1	0	25	0	10	0	9	0	12	18	1	0	20
12	전북	완주군	완도군	FALSE	170	0	0	4	6	50	0	18	0	24	1	12	17	0	0	38
156	서울	용산구	완주군	FALSE	435	0	1	2	0	135	0	106	0	62	1	0	0	0	1	127
217	경기	용인시 기흥구	용산구	FALSE	571	0	1	4	13	207	1	129	1	86	1	0	2	0	0	126
218	경기	용인시 수지구	용인시기흥구	FALSE	534	0	0	3	5	190	1	121	0	98	1	0	1	0	0	114
216	경기	용인시 처인구	용인시수지구	FALSE	324	0	2	3	7	102	0	69	1	44	1	7	7	0	0	81
131	경북	울릉군	용인시처인구	FALSE	11	0	0	0	1	0	0	1	0	1	0	2	3	1	0	2
107	울산	울주군	울릉군	FALSE	260	0	1	8	11	74	0	44	0	44	1	7	9	0	0	61
130	경북	울진군	울주군	FALSE	83	0	0	1	2	15	0	10	0	11	1	9	16	0	0	18
232	강원	원주시	울진군	FALSE	597	1	1	18	6	197	2	94	1	103	1	9	8	0	0	156
47	대전	유성구	원주시	FALSE	586	0	1	12	11	203	2	102	0	110	1	2	4	0	0	138
165	서울	은평구	유성구	FALSE	874	0	2	11	6	320	1	175	2	145	1	2	0	0	0	209
61	충북	음성군	은평구	FALSE	169	0	0	4	3	47	0	26	0	21	1	8	18	0	0	41
144	경남	의령군	음성군	FALSE	60	0	0	2	2	11	0	5	0	7	1	11	10	0	0	11
120	경북	의성군	의령군	FALSE	108	0	0	5	6	19	0	7	0	10	1	17	21	0	0	22
214	경기	의왕시	의성군	FALSE	189	0	0	2	4	62	1	44	0	30	1	1	0	0	1	43
196	경기	의정부시	의왕시	FALSE	729	0	4	13	10	273	2	143	3	95	1	0	0	0	0	185
220	경기	이천시	의정부시	FALSE	333	0	1	4	8	108	1	55	0	44	1	7	15	0	0	89
8	전북	익산시	이천시	FALSE	556	1	1	7	11	174	1	95	5	78	1	15	24	0	0	143
246	강원	인제군	익산시	FALSE	46	0	0	1	1	8	0	6	0	5	1	5	5	0	0	14
16	전북	임실군	인제군	FALSE	79	0	0	1	1	16	0	6	0	8	0	11	20	1	0	15
38	전남	장성군	임실군	FALSE	80	0	0	2	2	19	0	9	0	10	1	9	11	0	0	17
15	전북	장수군	장성군	FALSE	44	0	0	0	0	8	0	5	0	4	0	5	11	1	0	10
31	전남	장흥군	장수군	FALSE	80	0	1	1	1	23	0	8	1	10	1	8	11	0	0	15
